Sample,Time,Days old
Clock_CL50_6171d_FreeRun_stage_A_age52days_9PM_naive_system__N383Barcode_P1_A1_S1_R1_001,21,52
Clock_CL52_6171i_FreeRun_stage_A_age52days_9PM_naive_system__N383Barcode_P2_A2_S2_R1_001,21,52
Clock_CL71_6215b_FreeRun_stage_A_age67days_Noon_naive_system__N383Barcode_P3_A3_S3_R1_001,12,67
Clock_CL73_6217j_FreeRun_stage_A_age67days_Noon_naive_system__N383Barcode_P4_A4_S4_R1_001,12,67
Clock_CL76_6215d_FreeRun_stage_A_age68days_3PM_naive_system__N383Barcode_P5_A5_S5_R1_001,15,68
Clock_CL78_6215f_FreeRun_stage_A_age68days_3PM_naive_system__N383Barcode_P6_A6_S6_R1_001,15,68
Clock_CL90_6218d_FreeRun_stage_A_age42days_6PM_naive_system__N383Barcode_P7_A7_S7_R1_001,18,42
Clock_CL91_6218d_FreeRun_stage_A_age42days_6PM_naive_system__N383Barcode_P8_A8_S8_R1_001,18,42
Clock_CL93_6172a_FreeRun_stage_A_age36days_Midnight_naive_system__N383Barcode_P9_A9_S9_R1_001,0,36
Clock_CL94_6172b_FreeRun_stage_A_age36days_Midnight_naive_system__N383Barcode_P10_A10_S10_R1_001,0,36
Clock_CL97_6172g_FreeRun_stage_A_age36days_3AM_naive_system__N383Barcode_P12_A12_S11_R1_001,3,36
Clock_CL98_6172h_FreeRun_stage_A_age36days_6AM_naive_system__N383Barcode_P13_B1_S12_R1_001,6,36
Clock_CL100_6218b_FreeRun_age43days_9AM_naive_system__N383Barcode_P14_B2_S13_R1_001,9,43
Clock_CL102_6172k_FreeRun_age36days_9AM_naive_system__N383Barcode_P15_B3_S14_R1_001,9,36
Clock_CL104_5139jL11HMBYSc6a_b35_15_FreeRun_stage_A_age2142days_3PM_chimera_system__N383Barcode_P16_B4_S15_R1_001,15,2142
Clock_CL106_5139jL11HMBYSc6a_b35_15_FreeRun_stage_A_age2142days_3PM_chimera_system__N383Barcode_P17_B5_S16_R1_001,15,2142
Clock_CL108_5139jL11HMBYSc6a_b35_15_FreeRun_stage_A_age2142days_6PM_chimera_system__N383Barcode_P18_B6_S17_R1_001,18,2142
Clock_CL110_5139jL11HMBYSc6a_b35_15_FreeRun_stage_A_age2142days_6PM_chimera_system__N383Barcode_P19_B7_S18_R1_001,18,2142
Clock_CL113_5139jL11HMBYSc6a_b35_15_FreeRun_stage_A_age2142days_9PM_chimera_system__N383Barcode_P20_B8_S19_R1_001,21,2142
Clock_CL114_5139jL11HMBYSc6a_b35_15_FreeRun_stage_A_age2143days_Midnight_chimera_system__N383Barcode_P21_B9_S20_R1_001,0,2143
Clock_CL116_L11HMBY15xSc6a_b_40_FreeRun_stage_A_age2146days_Midnight_naive_system__N383Barcode_P22_B10_S21_R1_001,3,2146
Clock_CL118_5139jL11HMBYSc6a_b35_15_FreeRun_stage_A_age2143days_3AM_chimera_system__N383Barcode_P23_B11_S22_R1_001,3,2143
Clock_CL119_L11HMBY15xSc6a_b_40_FreeRun_age2146days_3AM_naive_system__N383Barcode_P24_B12_S23_R1_001,3,2146
Clock_CL121_L11HMBY15xSc6a_b_40_FreeRun_age2146days_6AM_naive_system__N383Barcode_P25_C1_S24_R1_001,6,2146
Clock_CL122_5139jL11HMBYSc6a_b35_15_FreeRun_stage_A_age2143days_6AM_chimera_system__N383Barcode_P26_C2_S25_R1_001,6,2143
Clock_CL124_5139jL11HMBYSc6a_b35_15_FreeRun_age2143days_9AM_chimera_system__N383Barcode_P27_C3_S26_R1_001,9,2143
Clock_CL128_5139jL11HMBYSc6a_b35_15_FreeRun_age2143days_Noon_chimera_system__N383Barcode_P29_C5_S28_R1_001,12,2143
Clock_CL130_L11HMBY15xSc6a_b_40_FreeRun_stage_A_age2146days_Noon_naive_system__N383Barcode_P30_C6_S29_R1_001,12,2146
Clock_CL132_L11HMBY15xSc6a_b_40_FreeRun_stage_A_age2146days_3PM_naive_system__N383Barcode_P31_C7_S30_R1_001,15,2146
Clock_CL133_L11HMBY15xSc6a_b_40_FreeRun_stage_A_age2146days_3PM_naive_system__N383Barcode_P32_C8_S31_R1_001,15,2146
Clock_CL134_L11HMBY15xSc6a_b_40_FreeRun_stage_A_age2146days_6PM_naive_system__N383Barcode_P33_C9_S32_R1_001,18,2146
Clock_CL135_L11HMBY15xSc6a_b_40_FreeRun_stage_A_age2146days_6PM_naive_system__N383Barcode_P34_C10_S33_R1_001,18,2146
Clock_CL140_Duplicate_6515d_FreeRun_24hours_DD_StageA_age118days_3PM_naive_HalfSystem_110817Experiment_111217_sampled,15,118
Clock_CL148_944axBYd196_6_4_266_1_FreeRun_24hours_DD_StageA_age5869days_9PM_naive_HalfSystem_110817Experiment_111217_sampled,21,5869
Clock_CL156_944axBYd196_6_4_266_2_FreeRun_24hours_DD_StageA_age5870days_3AM_naive_HalfSystem_110817Experiment_111317_sampled,3,5870
Clock_CL162_6515b_FreeRun_24hours_DD_StageEarlyA_age115days_6AM_naive_HalfSystem_110817Experiment_111317_sampled,6,115
Clock_CL154_6530d_FreeRun_24hours_DD_StageA_age109days_Midnight_naive_WholeSystem_110817Experiment_111317_sampled,0,109
Clock_CL193_944axBYd196_6_4_252_15_FreeRun_24hours_DD_stageA_age5871days_Noon_naive_WholeSystem_110817Experiment_111417_sampled,12,5871
Clock_CL192_944axBYd196_6_4_252_15_FreeRun_24hours_DD_stageA_age5871days_Noon_naive_WholeSystem_110817Experiment_111417_sampled,12,5871
Clock_CL161_944axBYd196_6_4_266_3_FreeRun_24hours_DD_StageA_AB_age5870days_6AM_naive_WholeSystem_110817Experiment_111317_sampled,6,5870
Clock_CL169_944axBYd196_6_4_266_1_FreeRun_24hours_DD_StageA_age5870days_Noon_naive_HalfSystem_110817Experiment_111317_sampled,12,5870
Clock_CL178_944axBYd196_6_4_266_4_FreeRun_24hours_DD_StageA_age5871days_Midnight_naive_HalfSystem_110817Experiment_111417_sampled,0,5870
Clock_CL187_944axBYd196_6_4_252_14_FreeRun_24hours_DD_StageA_age5871days_6AM_naive_WholeSystem_110817Experiment_111417_sampled,6,5870
Clock_CL141_6515d_FreeRun_24hours_DD_StageA_age118days_3PM_naive_HalfSystem_110817Experiment_111217_sampled,15,118
Clock_CL150_6530b_FreeRun_24hours_DD_StageA_age108days_9PM_naive_HalfSystem_110817Experiment_111217_sampled,21,108
Clock_CL157_944axBYd196_6_4_266_2_FreeRun_24hours_DD_StageA_age5870days_3AM_naive_HalfSystem_110817Experiment_111317_sampled,3,5870
Clock_CL171_944axBYd196_6_4_266_4_Duplicate_FreeRun_24hours_DD_StageA_age5870days_3PM_naive_HalfSystem_110817Experiment_111317_sampled,15,5870
Clock_CL179_944axBYd196_6_4_266_4_FreeRun_24hours_DD_StageA_age5871days_Midnight_naive_HalfSystem_110817Experiment_111417_sampled,0,5871
Clock_CL189_6515b_FreeRun_24hours_DD_StageA_age116days_6AM_naive_HalfSystem_110817Experiment_111417_sampled,6,116
Clock_CL152_944axBYd196_6_4_266_4_FreeRun_24hours_DD_StageA_age5870days_Midnight_naive_WholeSystem_110817Experiment_111317_sampled,0,5870
Clock_CL194_6530c_FreeRun_24hours_DD_StageAtoB_age110days_Noon_naive_HalfSystem_110817Experiment_111417_sampled,12,110
Clock_CL142_944axBYd196_6_4_266_5_FreeRun_24hours_DD_StageA_age5869days_3PM_naive_WholeSystem_110817Experiment_111217_sampled,15,5869
Clock_CL151_6530b_FreeRun_24hours_DD_StageA_age108days_9PM_naive_HalfSystem_110817Experiment_111217_sampled,21,108
Clock_CL163_6515b_FreeRun_24hours_DD_StageEarlyA_age115days_6AM_naive_HalfSystem_110817Experiment_111317_sampled,6,115
Clock_CL168_944axBYd196_6_4_266_1_FreeRun_24hours_DD_StageA_age5870days_Noon_naive_HalfSystem_110817Experiment_111317_sampled,12,5870
Clock_CL188_6515b_FreeRun_24hours_DD_StageA_age116days_6AM_naive_HalfSystem_110817Experiment_111417_sampled,6,116
Clock_CL170_Duplicate_944axBYd196_6_4_266_4_FreeRun_24hours_DD_StageA_age5870days_3PM_naive_HalfSystem_110817Experiment_111317_sampled,15,5870
Clock_CL165_944axBYd196_6_4_266_6_FreeRun_24hours_DD_StageA_age5870days_9AM_naive_HalfSystem_110817Experiment_111317_sampled,9,5870
Clock_CL143_944axBYd196_6_4_266_5_FreeRun_24hours_DD_StageA_age5869days_3PM_naive_WholeSystem_110817Experiment_111217_sampled,15,5869
Clock_CL144_6515g_FreeRun_24hours_DD_StageDtoA_age118days_6PM_naive_HalfSystem_110817Experiment_111217_sampled,18,118
Clock_CL152_944axBYd196_6_4_266_4_Duplicate_FreeRun_24hours_DD_StageA_age5870days_Midnight_naive_WholeSystem_110817Experiment_111317_sampled,0,5870
Clock_CL164_944axBYd196_6_4_266_6_FreeRun_24hours_DD_StageA_age5870days_9AM_naive_HalfSystem_110817Experiment_111317_sampled,9,5870
Clock_CL173_944axBYd196_6_4_266_6_FreeRun_24hours_DD_StageA_age5870days_6PM_naive_Half_WholeSystem_110817Experiment_111317_sampled,18,5870
Clock_CL184_944axBYd196_6_4_252_13_Duplicate_FreeRun_24hours_DD_StageA_age5871days_3AM_naive_HalfSystem_110817Experiment_111417_sampled,3,5871
Clock_CL167_6515e_FreeRun_24hours_DD_StageDtoA_age119days_9AM_naive_HalfSystem_110817Experiment_111317_sampled,9,119
Clock_CL145_6515g_FreeRun_24hours_DD_StageA_age118days_6PM_naive_HalfSystem_110817Experiment_111217_sampled,18,118
Clock_CL153_944axBYd196_6_4_266_4_FreeRun_24hours_DD_StageA_age5870days_Midnight_naive_WholeSystem_110817Experiment_111317_sampled,0,5870
Clock_CL158_6542SingleProgeny_FreeRun_24hours_DD_StageA_age103days_3AM_naive_HalfSystem_110817Experiment_111317_sampled,3,103
Clock_CL174_944axBYd196_6_4_266_1_FreeRun_24hours_DD_StageA_age5870days_9PM_naive_110817Experiment_111317_sampled,21,5870
Clock_CL195_6530c_FreeRun_24hours_DD_stageAtoB_age110days_Noon_naive_5zooids__110817Experiment_111417_sampled,12,110
Clock_CL196_944axBYd196_6_4_252_13_FreeRun_24hours_DD_stageA_age5871days_3pm_naive_HalfSystem_110817Experiment_111417_sampled,15,5871
Clock_CL154_6530d_FreeRun_24hours_DD_StageA_age81days_Midnight_naive_110817Experiment_111317sampled,0,81
Clock_CL159_6542SingleProgeny_FreeRun_24hours_DD_StageA_age103days_3AM_naive_HalfSystem_110817Experiment_111317_sampled,3,103
Clock_CL190_944axBYd196_6_4_252_16_FreeRun_24hours_DD_StageA_age5871days_9AM_naive_HalfSystem_110817Experiment_111417_sampled,9,103
Clock_CL197_944axByd196_6_4_252_13_FreeRun_24hours_DD_StageA_age_5871days_3pm_naive_HalfSystem_110817Experimant_111417sampled,15,5871
Clock_CL198_6491a_FreeRun_24hours_DD_StageLateD_age142days_3PM_naive_110817Experimant_111417sampled,15,142
Clock_CL184_944axBYd196_6_4_252_13_Duplicate_FreeRun_24hours_DD_StageA_age5871days_3AM_naive_110817Experiment_111417_sampled,3,5871
Clock_CL147_944axBYd196_6_4_266_6_FreeRun_24hours_DD_StageA_age5869days_6PM_naive_HalfSystem_110817Experiment_111217_sampled,18,5869
Clock_CL155_6530d_FreeRun_24hours_DD_StageA_age81days_Midnight_naive_110817Experiment_111317sampled,0,81
Clock_CL166_6515e_FreeRun_24hours_DD_StageDtoA_age119days_9AM_naive_HalfSystem_110817Experiment_111317_sampled,9,119
Clock_CL176_6515g_FreeRun_24hours_DD_StageA_age119days_9PM_naive_HalfSystem_110817Experiment_111317_sampled,21,119
Clock_CL191_944axBYd196_6_4_252_16_FreeRun_24hours_DD_StageA_age5871days_9AM_naive_HalfSystem_110817Experiment_111417_sampled,9,5871
Clock_Cl126_L11HMBY15xSc6a_b_40_FreeRun_2146days_9AM_stgD_A1__N383Barcode_P28_C4_S27_R1_001,9,2146
